ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-191.83667250000002,diazine-diazine,1.4982639999999998,-0.8765880000000004,2.4351499999999997
conformer-0001,-191.8336211,diazine-diazine,1.5002879999999998,-0.8925480000000006,2.45555
conformer-0002,-191.83511409999997,diazine-diazine,1.522024,-0.8847360000000001,2.5566999999999998
conformer-0003,-191.8456256,diazine-diazine,1.4724799999999998,-0.870036,2.4292
conformer-0004,-191.8452488,diazine-diazine,1.4811919999999998,-0.8741520000000002,2.4215500000000003
conformer-0005,-191.8421259,diazine-diazine,1.4884079999999993,-0.8843160000000003,2.4666
conformer-0006,-191.8460263,diazine-diazine,1.4737120000000001,-0.8693640000000001,2.40625
conformer-0007,-191.8306362,diazine-diazine,1.5423519999999995,-0.8941440000000005,2.57285
conformer-0008,-191.8457752,diazine-diazine,1.4721279999999999,-0.8706240000000002,2.4156
conformer-0009,-191.8415777,diazine-diazine,1.4796959999999995,-0.8808720000000001,2.45385
conformer-0010,-191.840053,diazine-diazine,1.4870879999999993,-0.8749920000000004,2.4292
conformer-0011,-191.84212140000002,diazine-diazine,1.4872639999999997,-0.8793600000000007,2.4563999999999995
conformer-0012,-191.84188419999998,diazine-diazine,1.493248,-0.8737320000000004,2.436
conformer-0013,-191.8459146,diazine-diazine,1.4671999999999996,-0.8749080000000006,2.4292
conformer-0014,-191.83794540000002,diazine-diazine,1.5106719999999998,-0.8839800000000003,2.5549999999999997
conformer-0015,-191.8425708,diazine-diazine,1.4929839999999996,-0.8775960000000003,2.4717
conformer-0016,-191.8290075,diazine-diazine,1.5278319999999996,-0.9131280000000003,2.5073999999999996
conformer-0017,-191.8464314,diazine-diazine,1.4746799999999993,-0.8747400000000003,2.45045
conformer-0018,-191.8337879,diazine-diazine,1.504336,-0.88188,2.43005
conformer-0019,-191.8334305,diazine-diazine,1.5035439999999993,-0.8887680000000004,2.4598
conformer-0020,-191.84575269999996,diazine-diazine,1.4699279999999995,-0.8698680000000004,2.402
conformer-0021,-191.8386119,diazine-diazine,1.5021359999999995,-0.8843160000000003,2.4801999999999995
conformer-0022,-191.8333827,diazine-diazine,1.515336,-0.8867520000000007,2.4989
conformer-0023,-191.8444371,diazine-diazine,1.4746799999999993,-0.865836,2.40455
conformer-0024,-191.83920780000003,diazine-diazine,1.5161279999999997,-0.8816280000000006,2.55415
conformer-0025,-191.84456219999998,diazine-diazine,1.4689599999999994,-0.8714640000000005,2.4053999999999998
conformer-0026,-191.8347243,diazine-diazine,1.5258959999999995,-0.8910360000000004,2.5719999999999996
conformer-0027,-191.8380451,diazine-diazine,1.4984399999999996,-0.8835600000000006,2.4734
conformer-0028,-191.8382696,diazine-diazine,1.5002,-0.8803680000000006,2.4309
conformer-0029,-191.8299161,diazine-diazine,1.527392,-0.8945640000000004,2.5753999999999997
conformer-0030,-191.8461704,diazine-diazine,1.4678159999999998,-0.8777640000000007,2.4513
conformer-0031,-191.838761,diazine-diazine,1.5105839999999993,-0.8886000000000001,2.4853
conformer-0032,-191.8327623,diazine-diazine,1.51868,-0.8875080000000003,2.5719999999999996
conformer-0033,-191.8302551,diazine-diazine,1.5416479999999997,-0.8910360000000004,2.5635
conformer-0034,-191.8421716,diazine-diazine,1.4795199999999997,-0.878688,2.45385
conformer-0035,-191.8210744,diazine-diazine,1.559248,-0.9290040000000006,2.66125
conformer-0036,-191.84094,diazine-diazine,1.4703680000000001,-0.8767560000000001,2.3883999999999994
conformer-0037,-191.8396516,diazine-diazine,1.515688,-0.8823840000000003,2.5566999999999998
conformer-0038,-191.8459234,diazine-diazine,1.4752959999999995,-0.8797800000000005,2.4223999999999997
conformer-0039,-191.84445319999998,diazine-diazine,1.4679039999999994,-0.8707920000000005,2.40455
conformer-0040,-191.83473830000003,diazine-diazine,1.521056,-0.8830560000000003,2.4801999999999995
conformer-0041,-191.8275172,diazine-diazine,1.54112,-0.8876760000000007,2.55415
conformer-0042,-191.83852380000002,diazine-diazine,1.5014319999999994,-0.8875080000000003,2.44705
conformer-0043,-191.8467103,diazine-diazine,1.482776,-0.8812920000000006,2.4351499999999997
conformer-0044,-191.8386172,diazine-diazine,1.5017839999999996,-0.8929680000000003,2.47425
conformer-0045,-191.8418015,diazine-diazine,1.4860319999999994,-0.877092,2.4717
conformer-0046,-191.8387834,diazine-diazine,1.5121679999999995,-0.898848,2.45045
conformer-0047,-191.8419767,diazine-diazine,1.4798719999999999,-0.8865000000000005,2.45045
conformer-0048,-191.8299924,diazine-diazine,1.5315279999999998,-0.8896080000000006,2.45385
conformer-0049,-191.8304353,diazine-diazine,1.5387439999999992,-0.8888520000000002,2.56095
conformer-0050,-191.83353469999997,diazine-diazine,1.5021359999999995,-0.8878440000000003,2.45385
conformer-0051,-191.84197930000002,diazine-diazine,1.4949199999999998,-0.8768400000000005,2.46405
conformer-0052,-191.8346583,diazine-diazine,1.5260719999999999,-0.8973360000000006,2.4895500000000004
conformer-0053,-191.84623180000003,diazine-diazine,1.4738879999999996,-0.8725560000000001,2.4223999999999997
conformer-0054,-191.8430081,diazine-diazine,1.4917519999999995,-0.8780160000000001,2.46915
conformer-0055,-191.8379296,diazine-diazine,1.4993199999999998,-0.8829720000000004,2.4547
conformer-0056,-191.83332109999998,diazine-diazine,1.508648,-0.8970000000000006,2.4444999999999997
conformer-0057,-191.83464630000003,diazine-diazine,1.5251039999999998,-0.8880120000000007,2.55925
