ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-185.5059668,phenylene-diazine,1.2495759999999996,-1.4512320000000003,2.94685
conformer-0001,-185.5056873,phenylene-diazine,1.2417439999999997,-1.4356080000000002,2.91795
conformer-0002,-185.50585230000002,phenylene-diazine,1.2415679999999993,-1.4332560000000005,2.9153999999999995
conformer-0003,-185.5061693,phenylene-diazine,1.249752,-1.4486280000000005,2.94855
conformer-0004,-185.5063399,phenylene-diazine,1.2422719999999994,-1.4346000000000003,2.9196499999999994
conformer-0005,-185.506442,phenylene-diazine,1.2565279999999996,-1.4640840000000002,2.98085
conformer-0006,-185.50601540000002,phenylene-diazine,1.2508959999999996,-1.451148,2.95535
conformer-0007,-185.5065676,phenylene-diazine,1.245704,-1.4407320000000001,2.9273
conformer-0008,-185.50665569999998,phenylene-diazine,1.2462319999999996,-1.4382120000000005,2.9290000000000003
conformer-0009,-185.50528459999998,phenylene-diazine,1.2424479999999998,-1.4393880000000003,2.92305
conformer-0010,-185.5068363,phenylene-diazine,1.2449119999999994,-1.4381280000000003,2.92815
conformer-0011,-185.5052008,phenylene-diazine,1.2394559999999997,-1.4345160000000001,2.9086000000000003
conformer-0012,-185.50651630000002,phenylene-diazine,1.2583759999999993,-1.4675280000000004,2.9833999999999996
conformer-0013,-185.50594230000002,phenylene-diazine,1.2471999999999996,-1.4438400000000005,2.9375
conformer-0014,-185.50594130000002,phenylene-diazine,1.2454399999999999,-1.4413200000000002,2.93325
conformer-0015,-185.5060426,phenylene-diazine,1.2508079999999997,-1.4539200000000005,2.9519499999999996
conformer-0016,-185.50590369999998,phenylene-diazine,1.2598719999999997,-1.4718120000000001,2.99275
conformer-0017,-185.505395,phenylene-diazine,1.2418319999999996,-1.4398920000000004,2.91795
conformer-0018,-185.5059125,phenylene-diazine,1.2413919999999998,-1.4347680000000003,2.9137
