ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-179.1333209,phenylene-phenylene,0.966304,-2.365068,3.4746999999999995
conformer-0001,-179.13263030000002,phenylene-phenylene,0.9684159999999997,-2.3827920000000002,3.5002
conformer-0002,-179.13272869999997,phenylene-phenylene,0.9592640000000001,-2.3694360000000003,3.4798
conformer-0003,-179.1324894,phenylene-phenylene,0.96164,-2.369268,3.4789499999999993
conformer-0004,-179.13306310000002,phenylene-phenylene,0.9556559999999998,-2.3544840000000002,3.4568500000000006
conformer-0005,-179.1332042,phenylene-phenylene,0.964016,-2.378508,3.4985
conformer-0006,-179.1328375,phenylene-phenylene,0.9635759999999993,-2.37204,3.4865999999999997
conformer-0007,-179.1332275,phenylene-phenylene,0.9635759999999993,-2.3667480000000003,3.4763999999999995
conformer-0008,-179.1330276,phenylene-phenylene,0.955568,-2.364144,3.4696000000000002
conformer-0009,-179.1323162,phenylene-phenylene,0.9581199999999996,-2.3745600000000007,3.48745
conformer-0010,-179.1331019,phenylene-phenylene,0.9607599999999996,-2.3675040000000003,3.4772499999999997
conformer-0011,-179.1334157,phenylene-phenylene,0.9680639999999998,-2.375064,3.4908499999999996
conformer-0012,-179.1327593,phenylene-phenylene,0.96164,-2.369352,3.4849
conformer-0013,-179.13323730000002,phenylene-phenylene,0.9662159999999995,-2.372796,3.48405
conformer-0014,-179.1333854,phenylene-phenylene,0.9565359999999994,-2.3599440000000005,3.46705
conformer-0015,-179.1333386,phenylene-phenylene,0.9551279999999995,-2.3616240000000004,3.46875
conformer-0016,-179.1332283,phenylene-phenylene,0.9620799999999998,-2.374224,3.48915
conformer-0017,-179.13334030000001,phenylene-phenylene,0.9566239999999999,-2.3649000000000004,3.4763999999999995
conformer-0018,-179.1328589,phenylene-phenylene,0.9650719999999997,-2.3768280000000006,3.4934
conformer-0019,-179.13323640000002,phenylene-phenylene,0.9655999999999993,-2.376912,3.4976499999999997
conformer-0020,-179.1331048,phenylene-phenylene,0.9652479999999994,-2.372796,3.48405
conformer-0021,-179.1333856,phenylene-phenylene,0.958648,-2.370864,3.4882999999999997
conformer-0022,-179.133207,phenylene-phenylene,0.9436879999999996,-2.3443200000000006,3.4441
conformer-0023,-179.13328969999998,phenylene-phenylene,0.9647199999999998,-2.368932,3.48235
conformer-0024,-179.13296640000002,phenylene-phenylene,0.9608479999999995,-2.3680080000000006,3.4814999999999996
conformer-0025,-179.13323169999998,phenylene-phenylene,0.9651599999999996,-2.3782560000000004,3.4917
conformer-0026,-179.13252680000002,phenylene-phenylene,0.9579439999999999,-2.3652360000000003,3.4789499999999993
conformer-0027,-179.1332518,phenylene-phenylene,0.9641039999999996,-2.3701920000000003,3.4849
conformer-0028,-179.1334281,phenylene-phenylene,0.9605839999999992,-2.3695200000000005,3.4849
