ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-182.33136069999998,phenylene-pyridine,1.1057839999999994,-1.9445640000000002,3.2095000000000002
conformer-0001,-182.3299935,phenylene-pyridine,1.116256,-1.9800120000000005,3.2656
conformer-0002,-182.33151830000003,phenylene-pyridine,1.112208,-1.9563240000000004,3.2349999999999994
conformer-0003,-182.3319243,phenylene-pyridine,1.1140559999999995,-1.9547280000000005,3.2298999999999993
conformer-0004,-182.3305025,phenylene-pyridine,1.1034079999999995,-1.9413720000000003,3.2009999999999996
conformer-0005,-182.331043,phenylene-pyridine,1.1067519999999995,-1.9453200000000004,3.2146000000000003
conformer-0006,-182.3315569,phenylene-pyridine,1.1039359999999998,-1.9385160000000001,3.2035499999999995
conformer-0007,-182.33174409999998,phenylene-pyridine,1.11256,-1.9567440000000003,3.2375499999999997
conformer-0008,-182.3315987,phenylene-pyridine,1.105872,-1.9442280000000003,3.21205
conformer-0009,-182.3314112,phenylene-pyridine,1.1120319999999997,-1.9560720000000003,3.2333
conformer-0010,-182.33186609999998,phenylene-pyridine,1.1043759999999996,-1.9387680000000003,3.2078
conformer-0011,-182.33089219999997,phenylene-pyridine,1.103496,-1.9448160000000003,3.2095000000000002
conformer-0012,-182.3315754,phenylene-pyridine,1.113616,-1.9637160000000005,3.2503
conformer-0013,-182.33138300000002,phenylene-pyridine,1.1133519999999997,-1.9563240000000004,3.2307499999999996
conformer-0014,-182.331167,phenylene-pyridine,1.1049039999999999,-1.9418760000000002,3.2078
conformer-0015,-182.3308521,phenylene-pyridine,1.1103599999999996,-1.9571640000000003,3.2281999999999997
conformer-0016,-182.3317696,phenylene-pyridine,1.1143199999999998,-1.9632120000000004,3.2435
conformer-0017,-182.3318011,phenylene-pyridine,1.1080719999999995,-1.9451520000000004,3.21205
conformer-0018,-182.3314577,phenylene-pyridine,1.1119439999999998,-1.9610280000000002,3.2418000000000005
conformer-0019,-182.3313126,phenylene-pyridine,1.1071039999999994,-1.9517880000000003,3.2196999999999996
conformer-0020,-182.33109069999998,phenylene-pyridine,1.1079839999999996,-1.948932,3.2154499999999997
conformer-0021,-182.3295608,phenylene-pyridine,1.1041999999999998,-1.9504440000000003,3.20695
conformer-0022,-182.331366,phenylene-pyridine,1.1173119999999999,-1.9675800000000003,3.2537
conformer-0023,-182.33142719999998,phenylene-pyridine,1.1040239999999995,-1.9390200000000002,3.2060999999999997
conformer-0024,-182.331756,phenylene-pyridine,1.1100959999999995,-1.9507800000000004,3.22395
conformer-0025,-182.3316677,phenylene-pyridine,1.1110639999999996,-1.9558200000000001,3.2358499999999997
conformer-0026,-182.3312759,phenylene-pyridine,1.1090399999999996,-1.9594320000000003,3.2324499999999996
conformer-0027,-182.3313434,phenylene-pyridine,1.1126479999999996,-1.9626240000000004,3.23925
conformer-0028,-182.3315468,phenylene-pyridine,1.1073679999999995,-1.9523760000000003,3.21885
conformer-0029,-182.3304549,phenylene-pyridine,1.1094799999999994,-1.9566600000000005,3.2205500000000002
conformer-0030,-182.33181069999998,phenylene-pyridine,1.102528,-1.935156,3.20185
