ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-185.52964419999998,pyridine-pyridine,1.3159279999999995,-1.5832800000000002,3.0531
conformer-0001,-185.5329386,pyridine-pyridine,1.3146959999999994,-1.580928,3.0496999999999996
conformer-0002,-185.52608419999999,pyridine-pyridine,1.2989439999999994,-1.5501000000000005,3.0021
conformer-0003,-185.5283284,pyridine-pyridine,1.3013199999999994,-1.5619440000000004,3.0055
conformer-0004,-185.52779089999999,pyridine-pyridine,1.2982399999999994,-1.5532080000000001,3.0063500000000003
conformer-0005,-185.527735,pyridine-pyridine,1.3132879999999996,-1.5816840000000003,3.0496999999999996
conformer-0006,-185.52997219999997,pyridine-pyridine,1.297712,-1.5469920000000004,2.997
conformer-0007,-185.5305952,pyridine-pyridine,1.316808,-1.5783240000000003,3.0395
conformer-0008,-185.5292142,pyridine-pyridine,1.302024,-1.5564840000000002,3.0106
conformer-0009,-185.52886809999998,pyridine-pyridine,1.3055439999999996,-1.5668160000000002,3.02845
conformer-0010,-185.5273592,pyridine-pyridine,1.3079199999999995,-1.5728640000000005,3.04205
conformer-0011,-185.5306395,pyridine-pyridine,1.3099439999999996,-1.5724440000000002,3.0395
conformer-0012,-185.5294807,pyridine-pyridine,1.3178639999999997,-1.5913440000000003,3.0768999999999997
conformer-0013,-185.529896,pyridine-pyridine,1.3017599999999998,-1.5609360000000003,3.01315
conformer-0014,-185.5266253,pyridine-pyridine,1.3018479999999997,-1.5522000000000005,3.0114499999999995
conformer-0015,-185.52892130000004,pyridine-pyridine,1.3015839999999994,-1.5653040000000005,3.0276
conformer-0016,-185.5283045,pyridine-pyridine,1.3012319999999995,-1.5597600000000003,3.0174
conformer-0017,-185.52932280000002,pyridine-pyridine,1.31012,-1.5760560000000003,3.04035
conformer-0018,-185.52744669999998,pyridine-pyridine,1.3004399999999998,-1.560264,3.0191
conformer-0019,-185.52837209999998,pyridine-pyridine,1.3146959999999994,-1.583028,3.05395
conformer-0020,-185.5251055,pyridine-pyridine,1.297712,-1.5521160000000003,3.00295
conformer-0021,-185.527998,pyridine-pyridine,1.3011439999999996,-1.5484200000000001,2.9987
conformer-0022,-185.5268388,pyridine-pyridine,1.3108239999999998,-1.5802560000000003,3.0531
conformer-0023,-185.52979130000003,pyridine-pyridine,1.3079199999999995,-1.5636240000000003,3.0191
conformer-0024,-185.5283918,pyridine-pyridine,1.301672,-1.5591720000000002,3.0106
conformer-0025,-185.5310447,pyridine-pyridine,1.3058959999999995,-1.5642960000000001,3.0191
conformer-0026,-185.5283331,pyridine-pyridine,1.304752,-1.564632,3.01825
conformer-0027,-185.5293946,pyridine-pyridine,1.3129359999999997,-1.5827760000000004,3.065
conformer-0028,-185.5294712,pyridine-pyridine,1.295688,-1.5493440000000005,2.997
conformer-0029,-185.52907539999998,pyridine-pyridine,1.305368,-1.5621960000000001,3.0225
conformer-0030,-185.5307158,pyridine-pyridine,1.299032,-1.5532080000000001,2.99785
conformer-0031,-185.52677849999998,pyridine-pyridine,1.3052799999999993,-1.5664800000000003,3.01825
conformer-0032,-185.5299736,pyridine-pyridine,1.306776,-1.569252,3.0395
conformer-0033,-185.5285305,pyridine-pyridine,1.3071279999999998,-1.5669840000000002,3.0293
conformer-0034,-185.5278322,pyridine-pyridine,1.3008799999999996,-1.552788,3.0071999999999997
conformer-0035,-185.53111,pyridine-pyridine,1.3105599999999997,-1.5747120000000001,3.05055
conformer-0036,-185.5292794,pyridine-pyridine,1.3043119999999992,-1.5537960000000004,3.01315
conformer-0037,-185.5289289,pyridine-pyridine,1.3126719999999994,-1.5848760000000004,3.0675499999999998
conformer-0038,-185.52942969999998,pyridine-pyridine,1.3056319999999995,-1.5579120000000002,3.02335
conformer-0039,-185.52433369999997,pyridine-pyridine,1.3018479999999997,-1.5640440000000004,3.0199499999999997
conformer-0040,-185.5275105,pyridine-pyridine,1.2982399999999994,-1.5522840000000002,3.0038
conformer-0041,-185.5308759,pyridine-pyridine,1.3048399999999998,-1.5670680000000003,3.03015
conformer-0042,-185.5314615,pyridine-pyridine,1.3059839999999994,-1.5572400000000002,3.0114499999999995
conformer-0043,-185.5288871,pyridine-pyridine,1.3022879999999994,-1.5571560000000004,3.01485
conformer-0044,-185.5271573,pyridine-pyridine,1.3029919999999993,-1.5609360000000003,3.02335
conformer-0045,-185.52801530000002,pyridine-pyridine,1.305368,-1.5572400000000002,3.0157
conformer-0046,-185.5266258,pyridine-pyridine,1.3084479999999998,-1.576476,3.0437499999999997
conformer-0047,-185.5298138,pyridine-pyridine,1.3007039999999999,-1.5556440000000002,3.00465
conformer-0048,-185.5306989,pyridine-pyridine,1.3153119999999996,-1.5870600000000006,3.0641499999999997
conformer-0049,-185.52821409999999,pyridine-pyridine,1.3095919999999996,-1.5784920000000002,3.0556499999999995
conformer-0050,-185.53016509999998,pyridine-pyridine,1.3089759999999995,-1.5696720000000002,3.03525
conformer-0051,-185.5317752,pyridine-pyridine,1.3150479999999993,-1.5871440000000003,3.0641499999999997
conformer-0052,-185.5330253,pyridine-pyridine,1.2995599999999994,-1.5510240000000002,3.0055
conformer-0053,-185.52941040000002,pyridine-pyridine,1.3018479999999997,-1.5637920000000003,3.0225
conformer-0054,-185.5280804,pyridine-pyridine,1.3007919999999997,-1.5587520000000006,3.00975
conformer-0055,-185.5288889,pyridine-pyridine,1.3142559999999996,-1.5823560000000003,3.0616000000000003
conformer-0056,-185.5297618,pyridine-pyridine,1.3080079999999994,-1.5695040000000002,3.02845
conformer-0057,-185.5256493,pyridine-pyridine,1.2985919999999993,-1.5516120000000004,3.0071999999999997
conformer-0058,-185.5299114,pyridine-pyridine,1.2964799999999996,-1.5469080000000004,2.9944499999999996
conformer-0059,-185.5296155,pyridine-pyridine,1.3029919999999993,-1.5626160000000002,3.02845
conformer-0060,-185.5293019,pyridine-pyridine,1.3,-1.5581640000000003,3.0038
conformer-0061,-185.5285561,pyridine-pyridine,1.3058079999999999,-1.5676560000000002,3.0225
conformer-0062,-185.530543,pyridine-pyridine,1.2981519999999995,-1.5568200000000005,3.00805
conformer-0063,-185.53031330000002,pyridine-pyridine,1.3039599999999993,-1.5695040000000002,3.0293
conformer-0064,-185.52738109999999,pyridine-pyridine,1.3072159999999997,-1.5796680000000003,3.04035
conformer-0065,-185.5305857,pyridine-pyridine,1.30704,-1.5693360000000003,3.03525
conformer-0066,-185.52973219999998,pyridine-pyridine,1.309064,-1.5738720000000002,3.04205
conformer-0067,-185.53009699999998,pyridine-pyridine,1.3063359999999993,-1.5645480000000003,3.02675
conformer-0068,-185.52890269999997,pyridine-pyridine,1.3028159999999998,-1.5584160000000005,3.01315
conformer-0069,-185.525752,pyridine-pyridine,1.3080079999999994,-1.5747960000000003,3.0361
conformer-0070,-185.527838,pyridine-pyridine,1.3043119999999992,-1.5670680000000003,3.03185
conformer-0071,-185.532973,pyridine-pyridine,1.3166319999999996,-1.5858000000000003,3.0616000000000003
conformer-0072,-185.53439,pyridine-pyridine,1.3074799999999998,-1.5599280000000002,3.01655
conformer-0073,-185.5306855,pyridine-pyridine,1.3017599999999998,-1.559676,3.0157
conformer-0074,-185.5285155,pyridine-pyridine,1.3091519999999999,-1.5798360000000002,3.0446000000000004
conformer-0075,-185.527681,pyridine-pyridine,1.3031679999999997,-1.5627000000000002,3.0225
conformer-0076,-185.5283564,pyridine-pyridine,1.2959519999999993,-1.5483360000000004,2.99785
conformer-0077,-185.5281103,pyridine-pyridine,1.307744,-1.5795840000000003,3.0488500000000003
conformer-0078,-185.5307426,pyridine-pyridine,1.3055439999999996,-1.5673200000000003,3.02675
conformer-0079,-185.5257858,pyridine-pyridine,1.3038719999999997,-1.5621120000000004,3.0250500000000002
conformer-0080,-185.5305293,pyridine-pyridine,1.2982399999999994,-1.5546360000000004,3.0063500000000003
conformer-0081,-185.5284159,pyridine-pyridine,1.3049279999999994,-1.5728640000000005,3.03525
conformer-0082,-185.530585,pyridine-pyridine,1.3109999999999995,-1.5837840000000003,3.0343999999999998
conformer-0083,-185.5301324,pyridine-pyridine,1.3042239999999996,-1.5580800000000001,3.0208000000000004
conformer-0084,-185.52976730000003,pyridine-pyridine,1.309416,-1.56942,3.02335
conformer-0085,-185.5270083,pyridine-pyridine,1.3089759999999995,-1.5762240000000003,3.04205
conformer-0086,-185.5309095,pyridine-pyridine,1.3065119999999997,-1.5590880000000005,3.0258999999999996
conformer-0087,-185.5266301,pyridine-pyridine,1.3046639999999994,-1.5638760000000005,3.0225
conformer-0088,-185.5276426,pyridine-pyridine,1.3007919999999997,-1.5514440000000003,3.0063500000000003
conformer-0089,-185.5275912,pyridine-pyridine,1.308712,-1.5747120000000001,3.048
conformer-0090,-185.5299699,pyridine-pyridine,1.3,-1.5600120000000004,3.00465
conformer-0091,-185.5258739,pyridine-pyridine,1.3017599999999998,-1.5516120000000004,3.0106
conformer-0092,-185.5292679,pyridine-pyridine,1.2964799999999996,-1.55472,3.00805
conformer-0093,-185.52722,pyridine-pyridine,1.3130239999999993,-1.5931920000000004,3.0666999999999995
conformer-0094,-185.5315512,pyridine-pyridine,1.3040479999999999,-1.5639600000000002,3.02335
conformer-0095,-185.5284498,pyridine-pyridine,1.3174240000000002,-1.5901680000000002,3.0751999999999997
conformer-0096,-185.5323655,pyridine-pyridine,1.3174240000000002,-1.5821040000000006,3.05735
conformer-0097,-185.5283311,pyridine-pyridine,1.3007919999999997,-1.5659760000000005,3.0242
conformer-0098,-185.53292380000002,pyridine-pyridine,1.3148719999999998,-1.5794160000000004,3.0343999999999998
conformer-0099,-185.5310811,pyridine-pyridine,1.3038719999999997,-1.564632,3.0199499999999997
conformer-0100,-185.5268622,pyridine-pyridine,1.3143439999999995,-1.5858000000000003,3.0666999999999995
conformer-0101,-185.5271546,pyridine-pyridine,1.3135519999999996,-1.5915960000000005,3.0735
conformer-0102,-185.52699750000002,pyridine-pyridine,1.3088879999999996,-1.5652200000000003,3.03695
conformer-0103,-185.52897380000002,pyridine-pyridine,1.308096,-1.5762240000000003,3.03525
conformer-0104,-185.5289214,pyridine-pyridine,1.3058959999999995,-1.5718560000000004,3.03185
conformer-0105,-185.5276881,pyridine-pyridine,1.3006159999999993,-1.5639600000000002,3.0191
conformer-0106,-185.5273421,pyridine-pyridine,1.3130239999999993,-1.5822720000000006,3.0675499999999998
conformer-0107,-185.52628049999998,pyridine-pyridine,1.3021119999999997,-1.5597600000000003,3.01655
conformer-0108,-185.5297413,pyridine-pyridine,1.3021119999999997,-1.5609360000000003,3.0157
conformer-0109,-185.52724840000002,pyridine-pyridine,1.320504,-1.5962160000000005,3.0879499999999998
conformer-0110,-185.5256489,pyridine-pyridine,1.3109119999999996,-1.571352,3.0361
conformer-0111,-185.5314087,pyridine-pyridine,1.3042239999999996,-1.5676560000000002,3.02845
