ID,Energy,Comp,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
conformer-0000,-159.82850990000003,thiophene-thiophene,0.024879999999999347,-1.6975200000000004,1.9803999999999995
conformer-0001,-159.827855,thiophene-thiophene,-0.0011680000000001134,-1.72566,1.9795500000000001
conformer-0002,-159.82809630000003,thiophene-thiophene,0.011151999999999329,-1.7143200000000003,1.9812499999999997
conformer-0003,-159.8276752,thiophene-thiophene,0.004464000000000051,-1.7218800000000005,1.9812499999999997
conformer-0004,-159.8284191,thiophene-thiophene,0.013791999999999416,-1.7095320000000003,1.9803999999999995
conformer-0005,-159.8285279,thiophene-thiophene,0.02760800000000002,-1.688364,1.9761499999999996
conformer-0006,-159.82796090000002,thiophene-thiophene,0.0032319999999997906,-1.7197800000000005,1.9769999999999999
conformer-0007,-159.8282718,thiophene-thiophene,0.021447999999999523,-1.6971840000000005,1.97785
conformer-0008,-159.82842409999998,thiophene-thiophene,0.06395199999999973,-1.6584600000000005,1.9838
conformer-0009,-159.827571,thiophene-thiophene,0.009215999999999919,-1.7152440000000002,1.9803999999999995
conformer-0010,-159.82814580000002,thiophene-thiophene,0.014495999999999343,-1.7062560000000002,1.9795500000000001
conformer-0011,-159.8280284,thiophene-thiophene,0.01255999999999996,-1.7073480000000003,1.9769999999999999
conformer-0012,-159.82792990000002,thiophene-thiophene,0.012911999999999924,-1.7053320000000003,1.9753000000000003
conformer-0013,-159.82831389999998,thiophene-thiophene,0.02725599999999928,-1.688028,1.9753000000000003
conformer-0014,-159.828499,thiophene-thiophene,0.030951999999999258,-1.6862640000000002,1.9787
conformer-0015,-159.8279888,thiophene-thiophene,0.013880000000000003,-1.7081040000000005,1.9812499999999997
conformer-0016,-159.8275639,thiophene-thiophene,0.009655999999999665,-1.7212920000000003,1.9863500000000003
conformer-0017,-159.8276591,thiophene-thiophene,0.007895999999999875,-1.7170080000000003,1.9803999999999995
conformer-0018,-159.8281246,thiophene-thiophene,0.013351999999999642,-1.7089440000000002,1.9787
conformer-0019,-159.82804050000001,thiophene-thiophene,0.013880000000000003,-1.7039880000000003,1.9736000000000002
conformer-0020,-159.828455,thiophene-thiophene,0.02619999999999939,-1.6910520000000002,1.9787
conformer-0021,-159.82776830000003,thiophene-thiophene,0.01053599999999999,-1.7093640000000003,1.9761499999999996
conformer-0022,-159.8282173,thiophene-thiophene,0.022327999999999848,-1.6990320000000003,1.9787
conformer-0023,-159.82751230000002,thiophene-thiophene,0.022855999999999377,-1.695252,1.9718999999999998
conformer-0024,-159.82827790000002,thiophene-thiophene,0.017311999999999828,-1.70004,1.9769999999999999
conformer-0025,-159.828206,thiophene-thiophene,0.02056800000000003,-1.6988640000000004,1.9769999999999999
conformer-0026,-159.8282139,thiophene-thiophene,0.021887999999999297,-1.6933200000000002,1.9736000000000002
conformer-0027,-159.8281283,thiophene-thiophene,0.02725599999999928,-1.6920600000000006,1.9787
conformer-0028,-159.8285697,thiophene-thiophene,0.025143999999999556,-1.6902120000000003,1.9761499999999996
conformer-0029,-159.828356,thiophene-thiophene,0.021095999999999615,-1.7011320000000003,1.9803999999999995
conformer-0030,-159.82745069999999,thiophene-thiophene,0.007279999999999731,-1.7182680000000001,1.9812499999999997
conformer-0031,-159.8284916,thiophene-thiophene,0.019511999999999363,-1.7022240000000002,1.9787
