ID,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
000000000111_lowest-conformer,1.2200959999999994,-1.5989040000000005,3.0395
000000001011_lowest-conformer,1.2244079999999995,-1.6167960000000003,3.05905
000000001101_lowest-conformer,1.2065439999999998,-1.6108320000000003,3.05395
000000001110_lowest-conformer,1.1877999999999997,-1.6208280000000002,3.05395
000000010011_lowest-conformer,1.2250239999999997,-1.6450200000000006,3.0888
000000010101_lowest-conformer,1.2067199999999993,-1.6446840000000005,3.0751999999999997
000000010110_lowest-conformer,1.1895599999999995,-1.6367040000000004,3.06925
000000011001_lowest-conformer,1.1981839999999997,-1.6415760000000001,3.0768999999999997
000000011010_lowest-conformer,1.1815519999999995,-1.6494720000000003,3.082
000000011100_lowest-conformer,1.1700239999999997,-1.6484640000000002,3.07435
000000100011_lowest-conformer,1.2215039999999993,-1.6483800000000004,3.0811499999999996
000000100101_lowest-conformer,1.2158719999999998,-1.681812,3.09985
000000100110_lowest-conformer,1.193344,-1.6610640000000003,3.07775
000000101001_lowest-conformer,1.2022319999999997,-1.6777800000000003,3.09475
000000101010_lowest-conformer,1.189736,-1.6785360000000003,3.0888
000000101100_lowest-conformer,1.1700239999999997,-1.6738320000000004,3.08455
000000110001_lowest-conformer,1.19176,-1.676352,3.1058
000000110010_lowest-conformer,1.1788239999999994,-1.688196,3.1108999999999996
000000110100_lowest-conformer,1.1690559999999997,-1.6888680000000005,3.1126000000000005
000000111000_lowest-conformer,1.1545359999999998,-1.6965960000000004,3.1168500000000003
000001000011_lowest-conformer,1.2209759999999998,-1.6647600000000002,3.1075
000001000101_lowest-conformer,1.2169279999999998,-1.6904640000000004,3.1176999999999997
000001000110_lowest-conformer,1.201792,-1.6969320000000003,3.1126000000000005
000001001001_lowest-conformer,1.2098,-1.7018880000000003,3.12025
000001001010_lowest-conformer,1.198712,-1.7114640000000003,3.116
000001001100_lowest-conformer,1.1765359999999994,-1.7090280000000004,3.1066499999999997
000001010001_lowest-conformer,1.1958079999999998,-1.6987800000000002,3.1168500000000003
000001010010_lowest-conformer,1.1877119999999999,-1.7249880000000002,3.1338500000000002
000001010100_lowest-conformer,1.1697599999999995,-1.7237280000000001,3.12535
000001011000_lowest-conformer,1.1587599999999993,-1.7293560000000006,3.133
000001100001_lowest-conformer,1.186656,-1.6833240000000003,3.0981499999999995
000001100010_lowest-conformer,1.1728399999999994,-1.7089440000000002,3.1032499999999996
000001100100_lowest-conformer,1.176272,-1.7352360000000002,3.1381
000001101000_lowest-conformer,1.1481999999999997,-1.7276760000000002,3.12705
000001110000_lowest-conformer,1.1473199999999995,-1.7106240000000001,3.12535
000010000011_lowest-conformer,1.2228239999999992,-1.6612320000000005,3.09985
000010000101_lowest-conformer,1.2182479999999998,-1.6934040000000004,3.1075
000010000110_lowest-conformer,1.2050479999999992,-1.7029800000000004,3.1296000000000004
000010001001_lowest-conformer,1.2073359999999995,-1.713984,3.12535
000010001010_lowest-conformer,1.1936079999999993,-1.7169240000000003,3.12025
000010001100_lowest-conformer,1.1887679999999998,-1.7370840000000003,3.13895
000010010001_lowest-conformer,1.2031999999999998,-1.7179320000000002,3.1193999999999997
000010010010_lowest-conformer,1.1943119999999994,-1.7448960000000004,3.13725
